Range,Country,Site,Latitude,N,Tmean,Anp,Tide,Salinity,WC,C,N 
Native,America,Tampa,27.7,10,23.44,1290.6,0.52,24,24.6,0.38,0
Native,America,Cocodrie,29.26,10,20.83,1581.2,0.26,12,72.8,7.69,0.48
Native,America,Flagler beach,29.41,10,20.78,1338.8,0.41,19,24.99,0.19,0.02
Native,America,Galveston,29.52,10,20.94,1093.5,0.38,23,33.27,0.49,0.02
Native,America,Batishop,30.4,10,21.31,1138.7,1.23,17,58.1,6.06,0.39
Native,America,Sapelo island,31.39,10,19.83,1284.5,2.24,23,52.44,2.33,0.12
Native,America, ACE basin,32.55,10,19.21,1267.2,2.03,18,59.6,3.9,0.21
Native,America,Murrells inlef,33.58,10,18.9,1376.2,1.44,21,63.42,5.26,0.35
Native,America,Duke,34.71,10,17.03,1454.4,0.91,21,42.89,0.94,0.03
Native,America,Virginia,37.47,10,14.72,1172,1.57,19,56.07,2.53,0.13
Native,America,Lewes,38.8,10,14.49,1189.7,1.43,18,52.48,2.58,0.14
Native,America,Tuckerton,39.56,10,12.08,1108.7,0.88,20,38.34,5.31,0.3
Native,America,Sand hook,40.43,10,12.44,1184.4,1.59,21,20.32,2.29,0.16
Native,America,Portsmouth,41.65,10,11.09,1232.9,1.27,28,14.92,4.72,0.36
Native,America,Plum,42.8,10,8.75,1264.7,2.82,14,62.51,4.6,0.32
Native,America,Wells,43.32,10,7.17,1297.4,3,16,58.47,6.1,0.51
Invasive,China,DZ,19.5,6,23.77,1855.2,1.9,31,20.67,0.23,0.01
Invasive,China,LZ,20.9,10,23.53,1730.4,2.49,15,44.64,0.42,0.03
Invasive,China,ZH,22.42,10,22.67,2081.6,1.87,5,55.8,2.04,0.14
Invasive,China,YX,23.91,10,21.16,1295.6,2.76,13,55.73,0.91,0.05
Invasive,China,LY,26.45,10,20.14,1384.9,5.24,18,43.93,0.99,0.05
Invasive,China,YQ,28.34,10,17.59,1413.9,5.28,14,49.85,0.97,0.04
Invasive,China,CM,31.52,10,16.7,1169.2,2.81,4,46.4,1.27,0.04
Invasive,China,YC,33.6,10,14.45,993.4,2.1,13,30.01,1.52,0.03
Invasive,China,GY,34.77,10,13.99,913.6,3.97,12,49.65,1.37,0.06
Invasive,China,DY,38,10,13.24,535.5,1.58,20,22.07,0.95,0.01
Invasive,China,TG,39.05,10,13.1,545.2,2.71,19,44.95,1.65,0.05
Invasive,China,DD,39.87,6,9.26,962.4,4.51,10,55.2,1.9,0.13
Invasive,China,HLD,40.8,15,11.05,592.1,2.32,21,24.55,0.22,0.01
