Country,Site,Latitude (N),No.,Shoot biomass,L-Area (cm),L-SLA,Height (cm),Inflorescence length (cm),Seed setting (%),,,,,,,,
USA,Tampa,27.697626,1,14.806,16,0.020625,141,24,1.811014054,,,,,,,,
USA,Tampa,27.697626,2,9.656,10.2,0.021568627,128,23.25,1.961443822,,,,,,,,
USA,Tampa,27.697626,3,9.906,11.9,0.018487395,121.3333333,24.66666667,0.682261209,,,,,,,,
USA,Tampa,27.697626,4,13.656,18,0.018333333,135.6666667,23.91666667,1.552045077,,,,,,,,
USA,Tampa,27.697626,5,9.616,14.8,0.015540541,127,22.58333333,4.602094453,,,,,,,,
USA,Tampa,27.697626,6,13.516,20.9,0.006220096,123.3333333,22.83333333,8.493076464,,,,,,,,
USA,Tampa,27.697626,7,8.886,15.75,0.016507937,101,25,12.53967357,,,,,,,,
USA,Tampa,27.697626,8,9.316,13.2,0.017424242,103.6666667,27.83333333,5.818397205,,,,,,,,
USA,Tampa,27.697626,9,14.476,20.625,0.013575758,133.3333333,24.16666667,0.58907621,,,,,,,,
USA,Tampa,27.697626,10,18.996,18.7,0.015508021,134.6666667,26.41666667,2.453090961,,,,,,,,
USA,Cocodrie,29.256048,1,9.046,11.6,0.011206897,133.6666667,27.75,61.94299752,,,,,,,,
USA,Cocodrie,29.256048,2,9.456,21,0.015238095,134.6666667,29.5,86.57279415,,,,,,,,
USA,Cocodrie,29.256048,3,9.356,13.5,0.014074074,145.3333333,25.25,35.58584609,,,,,,,,
USA,Cocodrie,29.256048,4,12.146,14.85,0.018181818,142.6666667,29.58333333,76.50081026,,,,,,,,
USA,Cocodrie,29.256048,5,16.366,12,0.013333333,172.3333333,32.33333333,75.2291727,,,,,,,,
USA,Cocodrie,29.256048,6,19.416,18.4,0.018478261,183.6666667,31.08333333,34.95248814,,,,,,,,
USA,Cocodrie,29.256048,7,31.516,21.5,0.011627907,174.6666667,31.33333333,21.92518887,,,,,,,,
USA,Cocodrie,29.256048,8,15.906,22.05,0.013605442,172.3333333,27.66666667,34.22613569,,,,,,,,
USA,Cocodrie,29.256048,9,17.546,18.45,0.01300813,145.6666667,27,36.93723912,,,,,,,,
USA,Cocodrie,29.256048,10,13.996,19.5,0.01025641,169.6666667,35.08333333,36.27388471,,,,,,,,
USA,Flagler beach,29.408131,1,23.296,31.5,0.011428571,164.3333333,26.75,3.384236845,,,,,,,,
USA,Flagler beach,29.408131,2,12.266,13.275,0.013559322,141.6666667,26.91666667,24.20921687,,,,,,,,
USA,Flagler beach,29.408131,3,7.716,8.8,0.011363636,117,22.25,2.135522128,,,,,,,,
USA,Flagler beach,29.408131,4,6.586,8.8,0.011363636,119.3333333,29.58333333,0.383141762,,,,,,,,
USA,Flagler beach,29.408131,5,6.496,7.525,0.013289037,135.6666667,25.33333333,5.412087912,,,,,,,,
USA,Flagler beach,29.408131,6,12.716,16.5,0.01030303,162.3333333,32,0,,,,,,,,
USA,Flagler beach,29.408131,7,15.606,19.25,0.012987013,148.3333333,25,6.54939023,,,,,,,,
USA,Flagler beach,29.408131,8,11.756,10.5,0.013333333,159.3333333,24.58333333,33.09983556,,,,,,,,
USA,Flagler beach,29.408131,9,25.026,21,0.013333333,160,23.66666667,28.5409999,,,,,,,,
USA,Flagler beach,29.408131,10,7.756,12.6,0.012698413,111.6666667,27,15.78431594,,,,,,,,
USA,Galveston,29.521921,1,10.216,12.64,0.018196203,140.6666667,23.41666667,4.99467976,,,,,,,,
USA,Galveston,29.521921,2,9.866,23.4,0.014957265,137.3333333,24.75,9.785203025,,,,,,,,
USA,Galveston,29.521921,3,8.456,5.94,0.016835017,111.6666667,28.16666667,0.522193211,,,,,,,,
